ID,Data,Produto,Categoria,Quantidade,Preço
1,01/02/2023,Pulseira onda,Pulseira,20,"R$ 20,00"
2,01/10/2023,Pulseira rosa,Pulseira,30,"R$ 20,00"
3,01/02/2023,Pulseira Borboleta,Pulseira,20,"R$ 20,00"
4,02/02/2023,Anel coracao,Anel,10,"R$ 30,00"
5,03/02/2023,Anel coracao,Anel,10,"R$ 30,00"
6,04/02/2023,Anel borboleta,Anel,15,"R$ 30,00"
7,05/02/2023,Brinco trio onda,Brinco,10,"R$ 50,00"
8,06/02/2023,Brinco trio pedra,Brinco,15,"R$ 50,00"
9,05/07/2023,Brinco trio rosa,Brinco,5,"R$ 50,00"
10,06/07/2023,Brinco Trio Verde,Brinco,20,"R$ 50,00"
11,07/07/2023,Brinco Trio perola,Brinco,10,"R$ 50,00"
12,08/07/2023,Brinco luz,Brinco,15,"R$ 50,00"
13,09/07/2023,Brinco pedras,Brinco,20,"R$ 50,00"
14,10/07/2023,Brinco1,Brinco,5,"R$ 50,00"
15,05/08/2023,Brinco2,Brinco,10,"R$ 50,00"
16,06/08/2023,Conjunto Azul,Conjunto,15,"R$ 80,00"
17,07/08/2023,Conjunto Rosa,Conjunto,20,"R$ 80,00"
18,08/08/2023,Conjunto Terco,Conjunto,5,"R$ 80,00"
19,09/08/2023,Colar Familia ,Colar,10,"R$ 70,00"
20,10/08/2023,Colar Pedras,Colar,15,"R$ 70,00"
21,12/03/2023,Colar Liso,Colar,20,"R$ 70,00"
22,13/03/2023,Colar Colorido ,Colar,5,"R$ 70,00"
23,14/03/2023,Colar Familia ,Colar,10,"R$ 70,00"
24,15/03/2023,Brinco1,Brinco,4,"R$ 50,00"
25,16/03/2023,Anel coracao,Anel,9,"R$ 30,00"
26,15/04/2023,Colar Pedras,Colar,14,"R$ 70,00"
27,16/04/2023,Anel coracao,Anel,9,"R$ 30,00"
28,17/04/2023,Conjunto Terco,Conjunto,4,"R$ 80,00"
29,18/04/2023,Colar Pedras,Colar,14,"R$ 70,00"
30,19/04/2023,Colar Familia ,Colar,9,"R$ 70,00"
31,20/04/2023,Brinco luz,Brinco,14,"R$ 50,00"
32,21/04/2023,Brinco Trio perola,Brinco,9,"R$ 50,00"
33,01/01/2023,Brinco1,Brinco,3,"R$ 50,00"
34,02/01/2023,Anel coracao,Anel,9,"R$ 30,00"
35,03/01/2023,Conjunto Terco,Conjunto,4,"R$ 80,00"
36,04/01/2023,Brinco luz,Brinco,12,"R$ 50,00"
37,05/01/2023,Pulseira onda,Pulseira,19,"R$ 20,00"
38,06/01/2023,Brinco luz,Brinco,10,"R$ 50,00"
39,20/09/2023,Conjunto Azul,Conjunto,14,"R$ 80,00"
40,21/09/2023,Brinco luz,Brinco,13,"R$ 50,00"
41,22/09/2023,Brinco Trio perola,Brinco,8,"R$ 50,00"
42,23/09/2023,Brinco2,Brinco,3,"R$ 50,00"
43,24/09/2023,Conjunto Terco,Conjunto,3,"R$ 80,00"
44,15/10/2023,Brinco Trio perola,Brinco,8,"R$ 50,00"
45,16/10/2023,Pulseira onda,Pulseira,15,"R$ 20,00"
46,17/10/2023,Anel coracao,Anel,7,"R$ 30,00"
47,18/10/2023,Brinco luz,Brinco,9,"R$ 50,00"
48,19/10/2023,Colar Familia ,Colar,7,"R$ 70,00"
49,20/10/2023,Colar Pedras,Colar,14,"R$ 70,00"
50,21/10/2023,Conjunto Azul,Conjunto,13,"R$ 80,00"
51,18/11/2023,Brinco luz,Brinco,11,"R$ 50,00"
